"subjects" "activity" "variable" "mean"
"164" 28 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.266101343372549
"165" 28 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.0890721752173913
"166" 28 "SITTING" "fBodyAcc_mean()_X" -0.979820142638889
"167" 28 "STANDING" "fBodyAcc_mean()_X" -0.97251980164557
"168" 28 "LAYING" "fBodyAcc_mean()_X" -0.9739308675
"169" 29 "WALKING" "fBodyAcc_mean()_X" -0.135819505761321
"170" 29 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.109793480008163
"171" 29 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" 0.110663200244167
"172" 29 "SITTING" "fBodyAcc_mean()_X" -0.991093963666667
"173" 29 "STANDING" "fBodyAcc_mean()_X" -0.995024039692308
"174" 29 "LAYING" "fBodyAcc_mean()_X" -0.986626999275362
"175" 30 "WALKING" "fBodyAcc_mean()_X" -0.351402910907692
"176" 30 "WALKING_UPSTAIRS" "fBodyAcc_mean()_X" -0.420402828153846
"177" 30 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_X" -0.106966957087097
"178" 30 "SITTING" "fBodyAcc_mean()_X" -0.985008785
"179" 30 "STANDING" "fBodyAcc_mean()_X" -0.972014050847458
"180" 30 "LAYING" "fBodyAcc_mean()_X" -0.974789999285714
"181" 1 "WALKING" "fBodyAcc_mean()_Y" 0.0897127264021053
"182" 1 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.190976720811321
"183" 1 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.00154990783591837
"184" 1 "SITTING" "fBodyAcc_mean()_Y" -0.944084550425532
"185" 1 "STANDING" "fBodyAcc_mean()_Y" -0.977070847735849
"186" 1 "LAYING" "fBodyAcc_mean()_Y" -0.86706520518
"187" 2 "WALKING" "fBodyAcc_mean()_Y" -0.0219048103322034
"188" 2 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.00992445881854167
"189" 2 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.278345041765957
"190" 2 "SITTING" "fBodyAcc_mean()_Y" -0.957343498478261
"191" 2 "STANDING" "fBodyAcc_mean()_Y" -0.959871697407407
"192" 2 "LAYING" "fBodyAcc_mean()_Y" -0.979800877916667
"193" 3 "WALKING" "fBodyAcc_mean()_Y" -0.0813024353275862
"194" 3 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.0788094156644068
"195" 3 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.00770048300204082
"196" 3 "SITTING" "fBodyAcc_mean()_Y" -0.891907751346154
"197" 3 "STANDING" "fBodyAcc_mean()_Y" -0.908075353770492
"198" 3 "LAYING" "fBodyAcc_mean()_Y" -0.961169982903226
"199" 4 "WALKING" "fBodyAcc_mean()_Y" -0.14939963344
"200" 4 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.117109161492308
"201" 4 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.129606639466667
"202" 4 "SITTING" "fBodyAcc_mean()_Y" -0.9057829318
"203" 4 "STANDING" "fBodyAcc_mean()_Y" -0.889549205
"204" 4 "LAYING" "fBodyAcc_mean()_Y" -0.938883374444444
"205" 5 "WALKING" "fBodyAcc_mean()_Y" 0.00946037755178572
"206" 5 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.0728903158085106
"207" 5 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.0792280694042553
"208" 5 "SITTING" "fBodyAcc_mean()_Y" -0.921434735681818
"209" 5 "STANDING" "fBodyAcc_mean()_Y" -0.890796360535714
"210" 5 "LAYING" "fBodyAcc_mean()_Y" -0.965419520961538
"211" 6 "WALKING" "fBodyAcc_mean()_Y" 0.140781621991228
"212" 6 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.0978035099588235
"213" 6 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.339771173822917
"214" 6 "SITTING" "fBodyAcc_mean()_Y" -0.928264365454545
"215" 6 "STANDING" "fBodyAcc_mean()_Y" -0.930336471754386
"216" 6 "LAYING" "fBodyAcc_mean()_Y" -0.923706791403509
"217" 7 "WALKING" "fBodyAcc_mean()_Y" -0.0641564202736842
"218" 7 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.381590523137255
"219" 7 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.145302311446808
"220" 7 "SITTING" "fBodyAcc_mean()_Y" -0.93149063375
"221" 7 "STANDING" "fBodyAcc_mean()_Y" -0.941883783773585
"222" 7 "LAYING" "fBodyAcc_mean()_Y" -0.942193953846154
"223" 8 "WALKING" "fBodyAcc_mean()_Y" 0.316982393333333
"224" 8 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.263431399878049
"225" 8 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.388412779763158
"226" 8 "SITTING" "fBodyAcc_mean()_Y" -0.94421971826087
"227" 8 "STANDING" "fBodyAcc_mean()_Y" -0.9500491
"228" 8 "LAYING" "fBodyAcc_mean()_Y" -0.951816663703704
"229" 9 "WALKING" "fBodyAcc_mean()_Y" -0.257677616153846
"230" 9 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.405022798163265
"231" 9 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.183120455428571
"232" 9 "SITTING" "fBodyAcc_mean()_Y" -0.911683219
"233" 9 "STANDING" "fBodyAcc_mean()_Y" -0.944849431777778
"234" 9 "LAYING" "fBodyAcc_mean()_Y" -0.9343665984
"235" 10 "WALKING" "fBodyAcc_mean()_Y" 0.0533911909886792
"236" 10 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.0390688222212766
"237" 10 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.00904660360263158
"238" 10 "SITTING" "fBodyAcc_mean()_Y" -0.9404502
"239" 10 "STANDING" "fBodyAcc_mean()_Y" -0.923378745227273
"240" 10 "LAYING" "fBodyAcc_mean()_Y" -0.954341849137931
"241" 11 "WALKING" "fBodyAcc_mean()_Y" -0.0830478435976271
"242" 11 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.254645206944444
"243" 11 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.0247508134326087
"244" 11 "SITTING" "fBodyAcc_mean()_Y" -0.934503182830189
"245" 11 "STANDING" "fBodyAcc_mean()_Y" -0.968703072553191
"246" 11 "LAYING" "fBodyAcc_mean()_Y" -0.971403935438596
"247" 12 "WALKING" "fBodyAcc_mean()_Y" -0.071302455092
"248" 12 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.168341519859615
"249" 12 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.150510001156522
"250" 12 "SITTING" "fBodyAcc_mean()_Y" -0.942768016862745
"251" 12 "STANDING" "fBodyAcc_mean()_Y" -0.932775677704918
"252" 12 "LAYING" "fBodyAcc_mean()_Y" -0.951265971
"253" 13 "WALKING" "fBodyAcc_mean()_Y" 0.0955150666694737
"254" 13 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.0636564765818182
"255" 13 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.0364535247659574
"256" 13 "SITTING" "fBodyAcc_mean()_Y" -0.959673916122449
"257" 13 "STANDING" "fBodyAcc_mean()_Y" -0.959427618245614
"258" 13 "LAYING" "fBodyAcc_mean()_Y" -0.965843757258064
"259" 14 "WALKING" "fBodyAcc_mean()_Y" -0.174601844847458
"260" 14 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.0163939234574074
"261" 14 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.3714824704
"262" 14 "SITTING" "fBodyAcc_mean()_Y" -0.932644766111111
"263" 14 "STANDING" "fBodyAcc_mean()_Y" -0.942178248333333
"264" 14 "LAYING" "fBodyAcc_mean()_Y" -0.930366906078431
"265" 15 "WALKING" "fBodyAcc_mean()_Y" 0.111321097159074
"266" 15 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.1019354328
"267" 15 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.167518099964286
"268" 15 "SITTING" "fBodyAcc_mean()_Y" -0.938926430779661
"269" 15 "STANDING" "fBodyAcc_mean()_Y" -0.943348788679245
"270" 15 "LAYING" "fBodyAcc_mean()_Y" -0.962461124305556
"271" 16 "WALKING" "fBodyAcc_mean()_Y" -0.321500667843137
"272" 16 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.268063812745098
"273" 16 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.134598352726809
"274" 16 "SITTING" "fBodyAcc_mean()_Y" -0.961456685507246
"275" 16 "STANDING" "fBodyAcc_mean()_Y" -0.96931401525641
"276" 16 "LAYING" "fBodyAcc_mean()_Y" -0.963635575142857
"277" 17 "WALKING" "fBodyAcc_mean()_Y" -0.0650267622126229
"278" 17 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.1175197356
"279" 17 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.130272514565217
"280" 17 "SITTING" "fBodyAcc_mean()_Y" -0.96992798921875
"281" 17 "STANDING" "fBodyAcc_mean()_Y" -0.97417056948718
"282" 17 "LAYING" "fBodyAcc_mean()_Y" -0.954648102253521
"283" 18 "WALKING" "fBodyAcc_mean()_Y" -0.24360627125
"284" 18 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.363450742586207
"285" 18 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.309049613818182
"286" 18 "SITTING" "fBodyAcc_mean()_Y" -0.976538530350877
"287" 18 "STANDING" "fBodyAcc_mean()_Y" -0.961239135479452
"288" 18 "LAYING" "fBodyAcc_mean()_Y" -0.984909884615385
"289" 19 "WALKING" "fBodyAcc_mean()_Y" 0.169258575663077
"290" 19 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.111818164225
"291" 19 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.494457802230769
"292" 19 "SITTING" "fBodyAcc_mean()_Y" -0.960763181917808
"293" 19 "STANDING" "fBodyAcc_mean()_Y" -0.952872872465753
"294" 19 "LAYING" "fBodyAcc_mean()_Y" -0.972798824096386
"295" 20 "WALKING" "fBodyAcc_mean()_Y" 0.403465950921569
"296" 20 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.0293832440223529
"297" 20 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.524187686888889
"298" 20 "SITTING" "fBodyAcc_mean()_Y" -0.945198619242424
"299" 20 "STANDING" "fBodyAcc_mean()_Y" -0.898194212465753
"300" 20 "LAYING" "fBodyAcc_mean()_Y" -0.965595958382353
"301" 21 "WALKING" "fBodyAcc_mean()_Y" 0.0338465813711538
"302" 21 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.0221598658106383
"303" 21 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.181138042506667
"304" 21 "SITTING" "fBodyAcc_mean()_Y" -0.968060947058824
"305" 21 "STANDING" "fBodyAcc_mean()_Y" -0.949694904269663
"306" 21 "LAYING" "fBodyAcc_mean()_Y" -0.960069247
"307" 22 "WALKING" "fBodyAcc_mean()_Y" 0.145367520371739
"308" 22 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" 0.13068653882619
"309" 22 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.225766560777778
"310" 22 "SITTING" "fBodyAcc_mean()_Y" -0.939546007903226
"311" 22 "STANDING" "fBodyAcc_mean()_Y" -0.929161387619048
"312" 22 "LAYING" "fBodyAcc_mean()_Y" -0.925524703472222
"313" 23 "WALKING" "fBodyAcc_mean()_Y" -0.0724367317966102
"314" 23 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.0769773944803922
"315" 23 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.0959432893981482
"316" 23 "SITTING" "fBodyAcc_mean()_Y" -0.953460406470588
"317" 23 "STANDING" "fBodyAcc_mean()_Y" -0.962831825294118
"318" 23 "LAYING" "fBodyAcc_mean()_Y" -0.982072295833333
"319" 24 "WALKING" "fBodyAcc_mean()_Y" -0.203193741396552
"320" 24 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.252412541966102
"321" 24 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.0861829752472727
"322" 24 "SITTING" "fBodyAcc_mean()_Y" -0.962773200147059
"323" 24 "STANDING" "fBodyAcc_mean()_Y" -0.948970158405797
"324" 24 "LAYING" "fBodyAcc_mean()_Y" -0.980830362083333
"325" 25 "WALKING" "fBodyAcc_mean()_Y" -0.251880271094595
"326" 25 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.380150805384615
"327" 25 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.196381053741379
"328" 25 "SITTING" "fBodyAcc_mean()_Y" -0.959117259384615
"329" 25 "STANDING" "fBodyAcc_mean()_Y" -0.959846189054054
"330" 25 "LAYING" "fBodyAcc_mean()_Y" -0.78494581909589
"331" 26 "WALKING" "fBodyAcc_mean()_Y" -0.146702156576271
"332" 26 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.185528313272727
"333" 26 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.006237000044
"334" 26 "SITTING" "fBodyAcc_mean()_Y" -0.954299410641026
"335" 26 "STANDING" "fBodyAcc_mean()_Y" -0.958402317837838
"336" 26 "LAYING" "fBodyAcc_mean()_Y" -0.983664034342105
"337" 27 "WALKING" "fBodyAcc_mean()_Y" -0.13678354122807
"338" 27 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.249688517843137
"339" 27 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" -0.0626729573068182
"340" 27 "SITTING" "fBodyAcc_mean()_Y" -0.974057855571429
"341" 27 "STANDING" "fBodyAcc_mean()_Y" -0.961356141125
"342" 27 "LAYING" "fBodyAcc_mean()_Y" -0.982915951891892
"343" 28 "WALKING" "fBodyAcc_mean()_Y" -0.127912276044444
"344" 28 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.190589069119608
"345" 28 "WALKING_DOWNSTAIRS" "fBodyAcc_mean()_Y" 0.186441733869565
"346" 28 "SITTING" "fBodyAcc_mean()_Y" -0.946351650416667
"347" 28 "STANDING" "fBodyAcc_mean()_Y" -0.893430392658228
"348" 28 "LAYING" "fBodyAcc_mean()_Y" -0.958436369
"349" 29 "WALKING" "fBodyAcc_mean()_Y" -0.0349642325433962
"350" 29 "WALKING_UPSTAIRS" "fBodyAcc_mean()_Y" -0.196011503540816
